stabbr,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
RI,0.2143556,0.23705246,0.25974929,0.26021129,0.20946521,0.28843781,0.31186679,0.34100631,0.3701458,0.36261624,0.35508671
NH,0.245922,0.25650924,0.26709649,0.2347583,0.22509199,0.31302339,0.25202221,0.2883971,0.324772,0.31286246,0.30095291
CT,0.26604971,0.2230368,0.18002389,0.31050101,0.2180912,0.3266198,0.29880291,0.27012551,0.2414481,0.25708559,0.27272311
NY,0.2286758,0.23689835,0.2451209,0.19539949,0.2050184,0.2520766,0.26247701,0.2498908,0.2373046,0.25846541,0.27962619
MA,0.28128269,0.27211565,0.2629486,0.29426339,0.2558324,0.3597661,0.30029199,0.280577,0.26086199,0.28029975,0.29973751
WY,0.29072389,0.25645465,0.2221854,0.2377211,0.29396009,0.3332265,0.2463325,0.29103696,0.3357414,0.29742146,0.25910151
MD,0.20673829,0.19143306,0.17612781,0.21718261,0.20804919,0.25853771,0.26983029,0.27668509,0.28353989,0.29534999,0.30716011
NJ,0.1813484,0.19163325,0.2019181,0.2855002,0.2462856,0.2467481,0.2059734,0.22923964,0.2525059,0.24886949,0.2452331
CA,0.26961479,0.28553426,0.30145371,0.30495399,0.2834844,0.29611969,0.34840959,0.34199169,0.33557379,0.34260866,0.3496435
VT,0.1909236,0.26505071,0.33917779,0.40092349,0.40812421,0.46365461,0.35943249,0.35698515,0.35453781,0.38991699,0.42529619
NV,0.2878103,0.27811351,0.2684167,0.23554561,0.22885071,0.2647832,0.30353299,0.31822029,0.33290759,0.36634731,0.39978701
HI,0.23942789,0.2259841,0.2125403,0.1879317,0.3228488,0.2261132,0.27041349,0.33588436,0.40135521,0.38177514,0.3621951
WV,0.16938829,0.16680434,0.16422039,0.2886,0.2835719,0.27232349,0.29633889,0.30858749,0.3208361,0.31212154,0.30340701
DE,0.20306531,0.1952085,0.1873517,0.2422719,0.14545441,0.13966881,0.2971974,0.29824835,0.2992993,0.32258219,0.3458651
IN,0.1695279,0.2018443,0.23416071,0.2792922,0.27919379,0.29561681,0.25675821,0.2753264,0.29389459,0.29430875,0.29472291
WA,0.3223339,0.32947704,0.33662021,0.3146894,0.32984239,0.35006639,0.38207671,0.38137406,0.38067141,0.4090775,0.43748361
IL,0.17563599,0.1928992,0.2101624,0.2435125,0.2410837,0.2617372,0.27141041,0.26512659,0.2588428,0.27984041,0.30083799
ME,0.2224569,0.26906589,0.3156749,0.35138059,0.272991,0.34645841,0.29574671,0.29161599,0.2874853,0.35273844,0.41799161
ND,0.14388201,0.13420039,0.1245188,0.1062228,0.2134715,0.30566451,0.27644351,0.25020885,0.2239742,0.20962235,0.19527049
NC,0.17641149,0.1754131,0.17441469,0.28841531,0.20330881,0.21166719,0.2069287,0.2145804,0.2222321,0.24954925,0.27686641
NM,0.2803171,0.2396377,0.19895829,0.29130661,0.25560781,0.26056659,0.31290221,0.29653245,0.28016269,0.30394551,0.3277283
CO,0.3055405,0.28409564,0.26265079,0.2768907,0.30296701,0.30535689,0.31716409,0.3245393,0.33191451,0.34312841,0.35434231
AK,0.32837579,0.3251861,0.32199639,0.30448139,0.28098759,0.1709314,0.36795431,0.39900431,0.43005431,0.40493199,0.37980971
VA,0.1983026,0.21857914,0.2388557,0.2111176,0.2343166,0.22755881,0.2445101,0.24478056,0.245051,0.2693406,0.29363021
SD,0.0948423,0.1457074,0.1965725,0.17874099,0.180095,0.3308886,0.13439,0.18804465,0.24169929,0.22760215,0.213505
WI,0.1885629,0.19125184,0.1939408,0.2253482,0.1986603,0.1983635,0.24042819,0.27432451,0.3082208,0.30538511,0.30254939
PA,0.1603844,0.18167961,0.2029748,0.2257583,0.20437761,0.2350177,0.24691629,0.24443629,0.24195629,0.26813129,0.29430631
FL,0.19837409,0.21016771,0.2219613,0.2482993,0.244931,0.2400047,0.23783471,0.25251234,0.26719001,0.27786079,0.2885316
ID,0.23084991,0.25224146,0.273633,0.37733969,0.2217865,0.3643207,0.32890469,0.30978286,0.29066101,0.32300621,0.35535139
MT,0.21389151,0.20730124,0.200711,0.3384788,0.2408689,0.27781469,0.338204,0.32629889,0.31439379,0.35678309,0.3991724
OR,0.28893089,0.30883849,0.32874611,0.35784879,0.27324879,0.37330991,0.36598909,0.41012299,0.45425689,0.43042195,0.406587
MN,0.16438501,0.1745134,0.18464179,0.2295038,0.2197437,0.30681121,0.2286333,0.25953475,0.29043621,0.31748381,0.34453139
MS,0.1211985,0.1416119,0.1620253,0.166041,0.1987215,0.0970769,0.1829495,0.16969851,0.1564475,0.20387594,0.25130439
MO,0.1550089,0.187985,0.22096109,0.21879371,0.23018719,0.26088029,0.25377131,0.27994215,0.306113,0.29130721,0.27650139
SC,0.1072019,0.1414344,0.1756669,0.27473381,0.2367294,0.26046959,0.2022595,0.20748401,0.2127085,0.25041929,0.2881301
IA,0.2102209,0.21731375,0.2244066,0.2490828,0.23155279,0.2367392,0.28705719,0.28906736,0.29107749,0.31077459,0.33047169
AR,0.2011272,0.1941077,0.18708821,0.1101328,0.16292299,0.26646119,0.2647478,0.22177359,0.17879941,0.24041705,0.30203471
TN,0.1220289,0.15386575,0.18570261,0.28976271,0.25954351,0.2439537,0.2261505,0.2083679,0.1905853,0.22217666,0.253768
LA,0.15256339,0.14099355,0.12942369,0.2000594,0.17947529,0.18444981,0.19495431,0.2030144,0.2110745,0.2325685,0.2540625
MI,0.1939833,0.22449809,0.2550129,0.24861629,0.30036381,0.2855368,0.29837489,0.28941166,0.28044841,0.31706959,0.3536908
OH,0.1731708,0.18829346,0.20341609,0.22989871,0.2408839,0.24514429,0.29367781,0.29189739,0.290117,0.29671419,0.30331141
AL,0.099108502,0.1381498,0.17719109,0.30135781,0.1883253,0.1787519,0.17736579,0.22015341,0.262941,0.25440145,0.2458619
GA,0.1599396,0.16058655,0.1612335,0.2272699,0.20541769,0.2065123,0.2473246,0.25034109,0.25335759,0.24965151,0.24594539
OK,0.1552715,0.17726339,0.1992553,0.248707,0.26865751,0.20654491,0.18758249,0.20830575,0.229029,0.23951665,0.25000429
TX,0.1539571,0.1629277,0.17189831,0.205901,0.2443603,0.26376891,0.2166844,0.22149131,0.2262982,0.2465619,0.26682559
AZ,0.2212109,0.25236624,0.28352159,0.24254189,0.2497689,0.2740491,0.33053669,0.34624964,0.36196259,0.33864281,0.315323
KS,0.1660472,0.18236825,0.1986893,0.1541288,0.2079796,0.2200724,0.23038851,0.22731809,0.22424769,0.25399989,0.28375211
KY,0.1716947,0.16932826,0.1669618,0.2217927,0.2274923,0.223285,0.245773,0.2238317,0.20189039,0.2313554,0.26082039
NE,0.2188098,0.2163967,0.2139836,0.1750676,0.1779761,0.23122419,0.18377639,0.20348629,0.22319619,0.22516111,0.227126
UT,0.2138973,0.18595114,0.158005,0.2272452,0.17638829,0.1837776,0.2172149,0.23695935,0.25670379,0.2722564,0.28780901
DC,0.1041024,0.20767584,0.31124929,0.3920486,0.21670499,0.48348269,0.31001991,0.33480054,0.3595812,0.39202139,0.4244616
